Instance Type,Version,Edition,VCPU,Memory,Bandwidth,IOPS,Throughput,Maxthroughput,Size,Class,GP3,IO2,RDSCustom,Current,Ratio,instancetype,Nitro
db.z1d.large   ,16,SE,2,16,3170,13333,396,396,large,z1d,13333,13333,Y,Y,8,M,Y
db.m5d.xlarge  ,12,EE,4,16,4750,18750,594,594,xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.xlarge  ,12,SE,4,16,4750,18750,594,594,xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.xlarge  ,13,EE,4,16,4750,18750,594,594,xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.xlarge  ,13,SE,4,16,4750,18750,594,594,xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.xlarge  ,14,EE,4,16,4750,18750,594,594,xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.xlarge  ,14,SE,4,16,4750,18750,594,594,xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.xlarge  ,15,EE,4,16,4750,18750,594,594,xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.xlarge  ,15,SE,4,16,4750,18750,594,594,xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.xlarge  ,16,EE,4,16,4750,18750,594,594,xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.xlarge  ,16,SE,4,16,4750,18750,594,594,xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m6i.xlarge   ,12,EE,4,16,10000,40000,1250,1000,xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.xlarge   ,12,SE,4,16,10000,40000,1250,1000,xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.xlarge   ,13,EE,4,16,10000,40000,1250,1000,xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.xlarge   ,13,SE,4,16,10000,40000,1250,1000,xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.xlarge   ,14,EE,4,16,10000,40000,1250,1000,xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.xlarge   ,14,SE,4,16,10000,40000,1250,1000,xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.xlarge   ,15,EE,4,16,10000,40000,1250,1000,xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.xlarge   ,15,SE,4,16,10000,40000,1250,1000,xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.xlarge   ,16,EE,4,16,10000,40000,1250,1000,xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.xlarge   ,16,SE,4,16,10000,40000,1250,1000,xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.r5b.xlarge  ,12,EE,4,32,10000,43333,1250,1000,xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.xlarge  ,12,SE,4,32,10000,43333,1250,1000,xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.xlarge  ,13,EE,4,32,10000,43333,1250,1000,xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.xlarge  ,13,SE,4,32,10000,43333,1250,1000,xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.xlarge  ,14,EE,4,32,10000,43333,1250,1000,xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.xlarge  ,14,SE,4,32,10000,43333,1250,1000,xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.xlarge  ,15,EE,4,32,10000,43333,1250,1000,xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.xlarge  ,15,SE,4,32,10000,43333,1250,1000,xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.xlarge  ,16,EE,4,32,10000,43333,1250,1000,xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.xlarge  ,16,SE,4,32,10000,43333,1250,1000,xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5d.xlarge  ,12,EE,4,32,4750,18750,594,594,xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.xlarge  ,12,SE,4,32,4750,18750,594,594,xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.xlarge  ,13,EE,4,32,4750,18750,594,594,xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.xlarge  ,13,SE,4,32,4750,18750,594,594,xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.xlarge  ,14,EE,4,32,4750,18750,594,594,xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.xlarge  ,14,SE,4,32,4750,18750,594,594,xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.xlarge  ,15,EE,4,32,4750,18750,594,594,xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.xlarge  ,15,SE,4,32,4750,18750,594,594,xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.xlarge  ,16,EE,4,32,4750,18750,594,594,xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.xlarge  ,16,SE,4,32,4750,18750,594,594,xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r6i.xlarge   ,12,EE,4,32,10000,40000,1250,1000,xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.xlarge   ,12,SE,4,32,10000,40000,1250,1000,xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.xlarge   ,13,EE,4,32,10000,40000,1250,1000,xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.xlarge   ,13,SE,4,32,10000,40000,1250,1000,xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.xlarge   ,14,EE,4,32,10000,40000,1250,1000,xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.xlarge   ,14,SE,4,32,10000,40000,1250,1000,xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.xlarge   ,15,EE,4,32,10000,40000,1250,1000,xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.xlarge   ,15,SE,4,32,10000,40000,1250,1000,xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.xlarge   ,16,EE,4,32,10000,40000,1250,1000,xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.xlarge   ,16,SE,4,32,10000,40000,1250,1000,xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.t3.xlarge   ,12,EE,4,16,2780,15700,348,348,xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.xlarge   ,12,SE,4,16,2780,15700,348,348,xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.xlarge   ,13,EE,4,16,2780,15700,348,348,xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.xlarge   ,13,SE,4,16,2780,15700,348,348,xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.xlarge   ,14,EE,4,16,2780,15700,348,348,xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.xlarge   ,14,SE,4,16,2780,15700,348,348,xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.xlarge   ,15,EE,4,16,2780,15700,348,348,xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.xlarge   ,15,SE,4,16,2780,15700,348,348,xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.xlarge   ,16,EE,4,16,2780,15700,348,348,xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.xlarge   ,16,SE,4,16,2780,15700,348,348,xlarge,t3,15700,32000,N,Y,4,G,N
db.x2iedn.xlarge,12,EE,4,128,2500,8125,313,2500,xlarge,x2iedn,3700,65000,Y,Y,32,M,Y
db.x2iedn.xlarge,12,SE,4,128,2500,8125,313,2500,xlarge,x2iedn,3700,65000,Y,Y,32,M,Y
db.x2iedn.xlarge,13,EE,4,128,2500,8125,313,2500,xlarge,x2iedn,3700,65000,Y,Y,32,M,Y
db.x2iedn.xlarge,13,SE,4,128,2500,8125,313,2500,xlarge,x2iedn,3700,65000,Y,Y,32,M,Y
db.x2iedn.xlarge,14,EE,4,128,2500,8125,313,2500,xlarge,x2iedn,3700,65000,Y,Y,32,M,Y
db.x2iedn.xlarge,14,SE,4,128,2500,8125,313,2500,xlarge,x2iedn,3700,65000,Y,Y,32,M,Y
db.x2iedn.xlarge,15,EE,4,128,2500,8125,313,2500,xlarge,x2iedn,3700,65000,Y,Y,32,M,Y
db.x2iedn.xlarge,15,SE,4,128,2500,8125,313,2500,xlarge,x2iedn,3700,65000,Y,Y,32,M,Y
db.x2iedn.xlarge,16,EE,4,128,2500,8125,313,2500,xlarge,x2iedn,3700,65000,Y,Y,32,M,Y
db.x2iedn.xlarge,16,SE,4,128,2500,8125,313,2500,xlarge,x2iedn,3700,65000,Y,Y,32,M,Y
db.z1d.xlarge  ,13,EE,4,32,3170,13333,396,396,xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.xlarge  ,13,SE,4,32,3170,13333,396,396,xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.xlarge  ,14,EE,4,32,3170,13333,396,396,xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.xlarge  ,14,SE,4,32,3170,13333,396,396,xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.xlarge ,15,EE,4,32,3170,13333,396,396,xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.xlarge ,15,SE,4,32,3170,13333,396,396,xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.xlarge  ,16,EE,4,32,3170,13333,396,396,xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.xlarge  ,16,SE,4,32,3170,13333,396,396,xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.m5d.2xlarge ,12,EE,8,32,4750,18750,594,594,2xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.2xlarge ,12,SE,8,32,4750,18750,594,594,2xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.2xlarge ,13,EE,8,32,4750,18750,594,594,2xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.2xlarge ,13,SE,8,32,4750,18750,594,594,2xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.2xlarge ,14,EE,8,32,4750,18750,594,594,2xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.2xlarge ,14,SE,8,32,4750,18750,594,594,2xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.2xlarge ,15,EE,8,32,4750,18750,594,594,2xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.2xlarge ,15,SE,8,32,4750,18750,594,594,2xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.2xlarge ,16,EE,8,32,4750,18750,594,594,2xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.2xlarge ,16,SE,8,32,4750,18750,594,594,2xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m6i.2xlarge  ,12,EE,8,32,10000,40000,1250,1000,2xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.2xlarge  ,12,SE,8,32,10000,40000,1250,1000,2xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.2xlarge  ,13,EE,8,32,10000,40000,1250,1000,2xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.2xlarge  ,13,SE,8,32,10000,40000,1250,1000,2xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.2xlarge  ,14,EE,8,32,10000,40000,1250,1000,2xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.2xlarge  ,14,SE,8,32,10000,40000,1250,1000,2xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.2xlarge  ,15,EE,8,32,10000,40000,1250,1000,2xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.2xlarge  ,15,SE,8,32,10000,40000,1250,1000,2xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.2xlarge  ,16,EE,8,32,10000,40000,1250,1000,2xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.2xlarge  ,16,SE,8,32,10000,40000,1250,1000,2xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.r5b.2xlarge ,12,EE,8,64,10000,43333,1250,1000,2xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.2xlarge ,12,SE,8,64,10000,43333,1250,1000,2xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.2xlarge ,13,EE,8,64,10000,43333,1250,1000,2xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.2xlarge ,13,SE,8,64,10000,43333,1250,1000,2xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.2xlarge ,14,EE,8,64,10000,43333,1250,1000,2xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.2xlarge ,14,SE,8,64,10000,43333,1250,1000,2xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.2xlarge ,15,EE,8,64,10000,43333,1250,1000,2xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.2xlarge ,15,SE,8,64,10000,43333,1250,1000,2xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.2xlarge ,16,EE,8,64,10000,43333,1250,1000,2xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.2xlarge ,16,SE,8,64,10000,43333,1250,1000,2xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5d.2xlarge ,12,EE,8,64,4750,18750,594,594,2xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.2xlarge ,12,SE,8,64,4750,18750,594,594,2xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.2xlarge ,13,EE,8,64,4750,18750,594,594,2xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.2xlarge ,13,SE,8,64,4750,18750,594,594,2xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.2xlarge ,14,EE,8,64,4750,18750,594,594,2xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.2xlarge ,14,SE,8,64,4750,18750,594,594,2xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.2xlarge ,15,EE,8,64,4750,18750,594,594,2xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.2xlarge ,15,SE,8,64,4750,18750,594,594,2xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.2xlarge ,16,EE,8,64,4750,18750,594,594,2xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.2xlarge ,16,SE,8,64,4750,18750,594,594,2xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r6i.2xlarge  ,12,EE,8,64,10000,40000,1250,1000,2xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.2xlarge  ,12,SE,8,64,10000,40000,1250,1000,2xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.2xlarge  ,13,EE,8,64,10000,40000,1250,1000,2xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.2xlarge  ,13,SE,8,64,10000,40000,1250,1000,2xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.2xlarge  ,14,EE,8,64,10000,40000,1250,1000,2xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.2xlarge  ,14,SE,8,64,10000,40000,1250,1000,2xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.2xlarge  ,15,EE,8,64,10000,40000,1250,1000,2xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.2xlarge  ,15,SE,8,64,10000,40000,1250,1000,2xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.2xlarge  ,16,EE,8,64,10000,40000,1250,1000,2xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.2xlarge  ,16,SE,8,64,10000,40000,1250,1000,2xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.t3.2xlarge  ,12,EE,8,32,2780,15700,348,348,2xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.2xlarge  ,12,SE,8,32,2780,15700,348,348,2xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.2xlarge  ,13,EE,8,32,2780,15700,348,348,2xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.2xlarge  ,13,SE,8,32,2780,15700,348,348,2xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.2xlarge  ,14,EE,8,32,2780,15700,348,348,2xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.2xlarge  ,14,SE,8,32,2780,15700,348,348,2xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.2xlarge  ,15,EE,8,32,2780,15700,348,348,2xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.2xlarge  ,15,SE,8,32,2780,15700,348,348,2xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.2xlarge  ,16,EE,8,32,2780,15700,348,348,2xlarge,t3,15700,32000,N,Y,4,G,N
db.t3.2xlarge  ,16,SE,8,32,2780,15700,348,348,2xlarge,t3,15700,32000,N,Y,4,G,N
db.x2iedn.2xlarge,12,EE,8,256,5000,16250,625,2500,2xlarge,x2iedn,7400,65000,Y,Y,32,M,Y
db.x2iedn.2xlarge,12,SE,8,256,5000,16250,625,2500,2xlarge,x2iedn,7400,65000,Y,Y,32,M,Y
db.x2iedn.2xlarge,13,EE,8,256,5000,16250,625,2500,2xlarge,x2iedn,7400,65000,Y,Y,32,M,Y
db.x2iedn.2xlarge,13,SE,8,256,5000,16250,625,2500,2xlarge,x2iedn,7400,65000,Y,Y,32,M,Y
db.x2iedn.2xlarge,14,EE,8,256,5000,16250,625,2500,2xlarge,x2iedn,7400,65000,Y,Y,32,M,Y
db.x2iedn.2xlarge,14,SE,8,256,5000,16250,625,2500,2xlarge,x2iedn,7400,65000,Y,Y,32,M,Y
db.x2iedn.2xlarge,15,EE,8,256,5000,16250,625,2500,2xlarge,x2iedn,7400,65000,Y,Y,32,M,Y
db.x2iedn.2xlarge,15,SE,8,256,5000,16250,625,2500,2xlarge,x2iedn,7400,65000,Y,Y,32,M,Y
db.x2iedn.2xlarge,16,EE,8,256,5000,16250,625,2500,2xlarge,x2iedn,7400,65000,Y,Y,32,M,Y
db.x2iedn.2xlarge,16,SE,8,256,5000,16250,625,2500,2xlarge,x2iedn,7400,65000,Y,Y,32,M,Y
db.z1d.2xlarge ,13,EE,8,64,3170,13333,396,396,2xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.2xlarge ,13,SE,8,64,3170,13333,396,396,2xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.2xlarge ,14,EE,8,64,3170,13333,396,396,2xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.2xlarge ,14,SE,8,64,3170,13333,396,396,2xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.2xlarge ,15,EE,8,64,3170,13333,396,396,2xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.2xlarge ,15,SE,8,64,3170,13333,396,396,2xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.2xlarge ,16,EE,8,64,3170,13333,396,396,2xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.2xlarge ,16,SE,8,64,3170,13333,396,396,2xlarge,z1d,13333,13333,Y,Y,8,M,Y
db.z1d.3xlarge ,13,EE,12,96,4750,20000,594,593,3xlarge,z1d,16000,20000,Y,Y,8,M,Y
db.z1d.3xlarge ,13,SE,12,96,4750,20000,594,593,3xlarge,z1d,16000,20000,Y,Y,8,M,Y
db.z1d.3xlarge ,14,EE,12,96,4750,20000,594,593,3xlarge,z1d,16000,20000,Y,Y,8,M,Y
db.z1d.3xlarge ,14,SE,12,96,4750,20000,594,593,3xlarge,z1d,16000,20000,Y,Y,8,M,Y
db.z1d.3xlarge ,15,EE,12,96,4750,20000,594,593,3xlarge,z1d,16000,20000,Y,Y,8,M,Y
db.z1d.3xlarge ,15,SE,12,96,4750,20000,594,593,3xlarge,z1d,16000,20000,Y,Y,8,M,Y
db.z1d.3xlarge ,16,EE,12,96,4750,20000,594,593,3xlarge,z1d,16000,20000,Y,Y,8,M,Y
db.z1d.3xlarge ,16,SE,12,96,4750,20000,594,593,3xlarge,z1d,16000,20000,Y,Y,8,M,Y
db.m5d.4xlarge ,12,EE,16,64,4750,18750,594,593,4xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.4xlarge ,12,SE,16,64,4750,18750,594,593,4xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.4xlarge ,13,EE,16,64,4750,18750,594,593,4xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.4xlarge ,13,SE,16,64,4750,18750,594,593,4xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.4xlarge ,14,EE,16,64,4750,18750,594,593,4xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.4xlarge ,14,SE,16,64,4750,18750,594,593,4xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.4xlarge ,15,EE,16,64,4750,18750,594,593,4xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.4xlarge ,15,SE,16,64,4750,18750,594,593,4xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.4xlarge ,16,EE,16,64,4750,18750,594,593,4xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m5d.4xlarge ,16,SE,16,64,4750,18750,594,593,4xlarge,m5d,16000,18750,N,Y,4,G,Y
db.m6i.4xlarge  ,12,EE,16,64,10000,40000,1250,1000,4xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.4xlarge  ,12,SE,16,64,10000,40000,1250,1000,4xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.4xlarge  ,13,EE,16,64,10000,40000,1250,1000,4xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.4xlarge  ,13,SE,16,64,10000,40000,1250,1000,4xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.4xlarge  ,14,EE,16,64,10000,40000,1250,1000,4xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.4xlarge  ,14,SE,16,64,10000,40000,1250,1000,4xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.4xlarge  ,15,EE,16,64,10000,40000,1250,1000,4xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.4xlarge  ,15,SE,16,64,10000,40000,1250,1000,4xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.4xlarge  ,16,EE,16,64,10000,40000,1250,1000,4xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.m6i.4xlarge  ,16,SE,16,64,10000,40000,1250,1000,4xlarge,m6i,16000,40000,Y,Y,4,G,Y
db.r5b.4xlarge ,12,EE,16,128,10000,43333,1250,1250,4xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.4xlarge ,12,SE,16,128,10000,43333,1250,1250,4xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.4xlarge ,13,EE,16,128,10000,43333,1250,1250,4xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.4xlarge ,13,SE,16,128,10000,43333,1250,1250,4xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.4xlarge ,14,EE,16,128,10000,43333,1250,1250,4xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.4xlarge ,14,SE,16,128,10000,43333,1250,1250,4xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.4xlarge ,15,EE,16,128,10000,43333,1250,1250,4xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.4xlarge ,15,SE,16,128,10000,43333,1250,1250,4xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.4xlarge ,16,EE,16,128,10000,43333,1250,1250,4xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5b.4xlarge ,16,SE,16,128,10000,43333,1250,1250,4xlarge,r5b,16000,43333,Y,Y,8,M,Y
db.r5d.4xlarge ,12,EE,16,128,4750,18750,594,593,4xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.4xlarge ,12,SE,16,128,4750,18750,594,593,4xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.4xlarge ,13,EE,16,128,4750,18750,594,593,4xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.4xlarge ,13,SE,16,128,4750,18750,594,593,4xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.4xlarge ,14,EE,16,128,4750,18750,594,593,4xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.4xlarge ,14,SE,16,128,4750,18750,594,593,4xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.4xlarge ,15,EE,16,128,4750,18750,594,593,4xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.4xlarge ,15,SE,16,128,4750,18750,594,593,4xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.4xlarge ,16,EE,16,128,4750,18750,594,593,4xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r5d.4xlarge ,16,SE,16,128,4750,18750,594,593,4xlarge,r5d,16000,18750,N,Y,8,M,Y
db.r6i.4xlarge  ,12,EE,16,128,10000,40000,1250,1000,4xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.4xlarge  ,12,SE,16,128,10000,40000,1250,1000,4xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.4xlarge  ,13,EE,16,128,10000,40000,1250,1000,4xlarge,r6i,16000,40000,Y,Y,8,M,Y
db.r6i.4xlarge  ,13,SE,16,128,10000,40000,1250,1000,4xlarge,r6i,16000,40000,Y,Y,8,M,Y
